,cue_type,condition_type,target_location,cue_direction,cond_type,random_order,fixation_dur,cB_version
0,arrow,congruent,right,right,1,15,5.33906480524,2
1,arrow,congruent,left,left,1,22,1.5918652422,2
2,arrow,incongruent,right,left,2,27,5.55884900704,2
3,arrow,congruent,right,right,1,7,0.83984460283,2
4,arrow,congruent,right,right,1,5,2.93145144797,2
5,arrow,neutral,left,neutral,3,32,0.365610922934,2
6,arrow,congruent,left,left,1,10,0.0286755356905,2
7,arrow,congruent,left,left,1,4,0.931589514117,2
8,arrow,congruent,right,right,1,17,2.67297472322,2
9,arrow,incongruent,left,right,2,24,3.02821197758,2
10,arrow,congruent,left,left,1,16,1.32411137585,2
11,arrow,neutral,right,neutral,3,31,1.08150562991,2
12,arrow,neutral,right,neutral,3,39,2.80931101185,2
13,arrow,congruent,left,left,1,0,3.65973170642,2
14,arrow,incongruent,left,right,2,26,2.52496195939,2
15,arrow,neutral,right,neutral,3,37,1.86733989576,2
16,arrow,congruent,right,right,1,1,3.34957610315,2
17,arrow,congruent,right,right,1,19,1.04521603867,2
18,arrow,congruent,left,left,1,2,2.02825719958,2
19,arrow,incongruent,right,left,2,25,0.88222930055,2
20,arrow,congruent,left,left,1,14,2.89658790555,2
21,arrow,neutral,left,neutral,3,36,4.42539994317,2
22,arrow,congruent,right,right,1,11,2.40270866645,2
23,arrow,incongruent,left,right,2,28,1.24640409322,2
24,arrow,congruent,left,left,1,6,2.53097501225,2
25,arrow,neutral,right,neutral,3,35,1.92922022254,2
26,arrow,neutral,right,neutral,3,33,2.50851011154,2
27,arrow,congruent,right,right,1,21,4.10413878051,2
28,arrow,congruent,left,left,1,20,1.59206631282,2
29,arrow,congruent,left,left,1,12,2.47765173012,2
30,arrow,neutral,left,neutral,3,34,16.4755523737,2
31,arrow,congruent,right,right,1,13,2.50851011154,2
32,arrow,congruent,right,right,1,9,1.70677887778,2
33,arrow,neutral,left,neutral,3,38,0.999595483626,2
34,arrow,congruent,left,left,1,8,3.73872491141,2
35,arrow,neutral,left,neutral,3,30,3.40166889951,2
36,arrow,congruent,left,left,1,18,0.607287201717,2
37,arrow,congruent,right,right,1,23,6.48732762225,2
38,arrow,congruent,right,right,1,3,1.04521603867,2
39,arrow,incongruent,right,left,2,29,3.05529770171,2
